Unnamed: 0,Uid,Name,Category,Price,Link,Age Group
0,S001,"DB Longboards CoreFlex Crossbow 41"" Bamboo Fiberglass Longboard Complete","Sports & Outdoors | Outdoor Recreation | Skates, Skateboards & Scooters | Skateboarding | Standard Skateboards & Longboards | Longboards",$237.68,https://www.amazon.com/DB-Longboards-CoreFlex-Fiberglass-Longboard/dp/B07KMVJJK7,8-12 years
1,T001,"Electronic Snap Circuits Mini Kits Classpack, FM Radio, Motion Detector, Music Box (Set of 5)",Toys & Games | Learning & Education | Science Kits & Toys,$99.95,https://www.amazon.com/Electronic-Circuits-Classpack-Motion-Detector/dp/B008AK6DAS,8-12 years
2,T002,"3Doodler Create Flexy 3D Printing Filament Refill Bundle (X5 Pack, Over 1000'. of Extruded Plastics! - Innovate",Toys & Games | Arts & Crafts | Craft Kits,$34.99,https://www.amazon.com/3Doodler-Plastic-Innovate-Filament-Refills/dp/B07D36747F,8-12 years
3,T003,Guillow Airplane Design Studio with Travel Case Building Kit,Toys & Games | Hobbies | Models & Model Kits | Model Kits | Airplane & Jet Kits,$28.91,https://www.amazon.com/Guillow-Airplane-Design-Studio-Building/dp/B076Y2SNHM,8-12 years
4,T004,Woodstock- Collage 500 pc Puzzle,Toys & Games | Puzzles | Jigsaw Puzzles,$17.49,https://www.amazon.com/Woodstock-Collage-500-pc-Puzzle/dp/B07MX21WWX,8-12 years
5,T005,"Terra by Battat – 4 Dinosaur Toys, Medium – Dinosaurs for Kids & Collectors, Scientifically Accurate & Designed by A Paleo-Artist; Age 3+ (4 Pc)",Toys & Games | Arts & Crafts | Drawing & Painting Supplies | Coloring Pens & Markers,$18.66,https://www.amazon.com/Terra-Battat-Dinosaurs-Collectable-Stegosaurus/dp/B07PF1R8LS,8-12 years
6,C001,"Rubie's Child's Pokemon Deluxe Pikachu Costume, X-Small","Clothing, Shoes & Jewelry | Costumes & Accessories | Kids & Baby | Girls | Costumes",$29.12,https://www.amazon.com/Rubies-Deluxe-Pikachu-Pokemon-Costume/dp/B07BZJM592,0-3 years
7,T006,"Hoffmaster 120813 Double-Tipped Triangular Crayon, 88 mm Length, Wrapped (500 Packs of 2)",Toys & Games | Arts & Crafts | Drawing & Painting Supplies | Crayons,$97.68,https://www.amazon.com/Hoffmaster-120813-Double-Tipped-Triangular-Wrapped/dp/B00BS7XCZ4,8-12 years
8,H001,"ARTSCAPE Etched Glass 24"" x 36"" Window Film, 24-by-36-Inch",Home & Kitchen | Home Décor | Window Treatments | Window Stickers & Films | Window Films,$12.99,https://www.amazon.com/ARTSCAPE-Etched-Glass-Window-Film/dp/B000Q3PRYA,0-3 years
9,T007,Pokemon TCG: Sun and Moon Crimson Invasion Elite Trainer Box,Toys & Games | Games & Accessories,$38.49,https://www.amazon.com/Pokemon-TCG-Crimson-Invasion-Trainer/dp/B074NCGNX2,8-12 years
10,T008,"Moonlite, 3-Story Bundle for Boys, Includes 3 Story Reels for Use with Storybook Projector",Toys & Games | Baby & Toddler Toys,$18.16,https://www.amazon.com/Moonlite-3-Story-Bundle-Storybook-Projector/dp/B07NPJNZ9T,0-3 years
11,T009,DC Cover Girls: Black Canary by Joëlle Jones Statue,"Toys & Games | Collectible Toys | Statues, Bobbleheads & Busts | Statues",$84.61,https://www.amazon.com/DC-Cover-Girls-Canary-Jo%C3%ABlle/dp/B07M7XYMRW,13-17 years
12,B001,"Baby Doll Bedding Chevron Window Valance and Curtain Set, Orange",Baby Products | Nursery | Décor | Window Treatments | Valances,$33.92,https://www.amazon.com/Bedding-Chevron-Window-Valance-Curtain/dp/B00LSJV9TS,0-3 years
13,T010,"LEGO Minecraft Creeper BigFig and Ocelot Characters 21156 Buildable Toy Minecraft Figure Gift Set for Play and Decoration, New 2020 (184 Pieces)",Toys & Games | Building Toys | Building Sets,$14.99,https://www.amazon.com/LEGO-Minecraft-Characters-Buildable-Decoration/dp/B07WG9XJDZ,8-12 years
14,T011,C&D Visionary DC Comic Originals Flash Logo Sticker,Toys & Games | Arts & Crafts | Craft Kits,$4.99,https://www.amazon.com/Visionary-Comic-Originals-Flash-Sticker/dp/B00U87LZ0Y,8-12 years
15,T012,"The Learning Journey ABC Melody Maker, Primary",Toys & Games | Baby & Toddler Toys | Musical Toys,$34.39,https://www.amazon.com/Learning-Journey-ABC-Melody-Maker/dp/B00247R078,0-3 years
16,T013,"The Complete Common Core: State Standards Kit, Grade 5",Toys & Games | Learning & Education | Flash Cards,$12.88,https://www.amazon.com/Complete-Common-Core-State-Standards/dp/1623999340,0-3 years
17,H002,Flash Furniture 25''W x 45''L Trapezoid Red HP Laminate Activity Table - Height Adjustable Short Legs,Home & Kitchen | Furniture | Kids' Furniture | Tables & Chairs | Tables,$117.26,https://www.amazon.com/Flash-Furniture-Trapezoid-Laminate-Activity/dp/B00777W7GE,8-12 years
18,T014,Schylling Veterinarian Kit,Toys & Games | Novelty & Gag Toys | Money Banks,$9.39,https://www.amazon.com/Schylling-Veterinarian-Kit/dp/B079C6NV2Y,0-3 years
19,T015,Yellies! Frizz; Voice-Activated Spider Pet; Ages 5 & Up,Toys & Games | Baby & Toddler Toys | Musical Toys,$17.85,https://www.amazon.com/Hasbro-Yellies-Frizz-Voice-Activated-Spider/dp/B07FQ4JBXG,0-3 years
20,T016,Disney HK318329 Sofia The First Sleepover Set,Toys & Games | Sports & Outdoor Play | Slumber Bags,$27.50,https://www.amazon.com/Disney-HK318329-Sofia-First-Sleepover/dp/B00GJAT9JI,0-3 years
21,T017,Team Associated 9665 Hinge Pin Brace with Hinge Pins B4/T4,Toys & Games | Hobbies | Hobby Building Tools & Hardware | RC Linkages,$10.99,https://www.amazon.com/Team-Associated-9665-Hinge-Brace/dp/B000BOB45U,8-12 years
22,T018,"PLUS PLUS - Construction Building Toy, Open Play Set - 3,600 Pieces with Storage Tub - Basic Color Mix",Toys & Games | Building Toys | Building Sets,$159.99,https://www.amazon.com/PLUS-3600-Pc-Set-Educational/dp/B00JZO7CNA,8-12 years
23,T019,"Big Party Pack Orange Peel Plastic Plates | 10.25"" | Pack of 50 | Party Supply",Toys & Games | Party Supplies | Party Tableware | Plates,$12.63,https://www.amazon.com/Party-Orange-Plastic-Plates-Supply/dp/B00BFX761C,8-12 years
24,T020,Peppa Pig Shape Sorter Clock Puzzle (12Piece),Toys & Games | Baby & Toddler Toys | Teaching Clocks,$11.88,https://www.amazon.com/Peppa-Pig-Sorter-Puzzle-12Piece/dp/B015EOHBKI,0-3 years
25,T021,Huffy Kids Bikes 16 & 20 inch with Streamers and BMX Pegs,"Toys & Games | Tricycles, Scooters & Wagons | Balance Bikes",$74.99 - $249.99,https://www.amazon.com/Huffy-Boys-Thunder-16-Inch-Wheels/dp/B001JEPXUS,8-12 years
26,T022,NKOK Sonic and Sega All Stars Racing Remote Controlled Car - Sonic The Hedgehog,Toys & Games | Kids' Electronics,$26.99,https://www.amazon.com/NKOK-Sonic-Racing-Remote-Controlled/dp/B003SUW37W,8-12 years
27,H003,Industro Stainless Steel Hose Clamps,Home & Kitchen | Home Décor | Kids' Room Décor,$34.27,https://www.amazon.com/Industro-Stainless-Steel-Hose-Clamps/dp/B07M9BPMTK,8-12 years
28,B002,"Oopsy Daisy Birchwood Owl Growth Chart, Pink, 12"" x 42""",Baby Products | Nursery | Décor | Wall Décor | Growth Charts,$18.70,https://www.amazon.com/Oopsy-Daisy-Birchwood-Growth-Chart/dp/B00LA48EP8,0-3 years
29,T023,Springbok Puzzles - Christmas Wishes - 400 Piece Jigsaw Puzzle - Large 26.75 Inches by 20.5 Inches Puzzle - Made in USA - Unique Cut Interlocking Pieces - Big Pieces for Kids & Small Pieces for Adults,Toys & Games | Puzzles | Jigsaw Puzzles,$14.95,https://www.amazon.com/Springbok-Puzzles-Christmas-Wishes-Interlocking/dp/B071GRMV63,8-12 years
30,S002,Franklin Sports Eye Black Stickers for Kids - Customizable Lettering Baseball and Football Eye Black Stickers - White Pencil Included,Sports & Outdoors | Sports & Fitness | Team Sports,$6.91,https://www.amazon.com/Franklin-Sports-Eye-Black-Stickers/dp/B009Z2WXA4,8-12 years
31,T024,Costume Sunglasses Clown from IT Sun-Staches Party Favors UV400,Toys & Games | Dress Up & Pretend Play | Costumes,$5.99,https://www.amazon.com/Costume-Sunglasses-Clown-Sun-Staches-Favors/dp/B07GG8DFWD,8-12 years
32,H004,"Jay Franco Disney Frozen 2 Forest Spirit Twin/Full Comforter & Sham Set, Mutli",Home & Kitchen | Bedding | Kids' Bedding | Comforters & Sets | Comforter Sets,$36.37,https://www.amazon.com/Jay-Franco-Disney-Frozen-Comforter/dp/B07V5JT7XP,8-12 years
33,T025,TAMASHII NATIONS Bandai S.H. Figuarts Captain America & Tamashii Effect Explosion Avengers: Infinity War Action Figure,Toys & Games | Toy Figures & Playsets | Action Figures,$60.87,https://www.amazon.com/Tamashii-Nations-Figuarts-Explosion-Avengers/dp/B07BK72H55,8-12 years
